year,month,state,gender,value
2035,October,Delhi,Total,26421
2035,October,Delhi,Male,14144
2035,October,Delhi,Female,12277
2035,October,Daman and Diu,Total,1886
2035,October,Daman and Diu,Male,1596
2035,October,Daman and Diu,Female,290
2035,October,Dadra and Nagar Haveli,Total,1335
2035,October,Dadra and Nagar Haveli,Male,794
2035,October,Dadra and Nagar Haveli,Female,541
2035,October,Chhattisgarh,Total,10579
2035,October,Chhattisgarh,Male,5408
2035,October,Chhattisgarh,Female,5170
2035,October,Chandigarh,Total,1356
2035,October,Chandigarh,Male,744
2035,October,Chandigarh,Female,612
2035,October,Bihar,Total,19611
2035,October,Bihar,Male,10349
2035,October,Bihar,Female,9262
2035,October,Assam,Total,6725
2035,October,Assam,Male,3456
2035,October,Assam,Female,3269
2035,October,Arunachal Pradesh,Total,489
2035,October,Arunachal Pradesh,Male,258
2035,October,Arunachal Pradesh,Female,230
2035,October,Andhra Pradesh,Total,24118
2035,October,Andhra Pradesh,Male,12138
2035,October,Andhra Pradesh,Female,11980
2035,October,Andaman and Nicobar Islands,Total,212
2035,October,Andaman and Nicobar Islands,Male,113
2035,October,Andaman and Nicobar Islands,Female,99
2035,October,All India,Total,591173
2035,October,All India,Male,306841
2035,October,All India,Female,284332
2035,March,West Bengal,Total,43131
2035,March,West Bengal,Male,22187
2035,March,West Bengal,Female,20944
2035,March,Uttarakhand,Total,5350
2035,March,Uttarakhand,Male,2840
2035,March,Uttarakhand,Female,2510
2035,March,Uttar Pradesh,Total,66340
2035,March,Uttar Pradesh,Male,35026
2035,March,Uttar Pradesh,Female,31314
2035,March,Tripura,Total,2394
2035,March,Tripura,Male,1213
2035,March,Tripura,Female,1181
2035,March,Telangana,Total,22402
2035,March,Telangana,Male,11274
2035,March,Telangana,Female,11128
2035,March,Tamil Nadu,Total,46188
2035,March,Tamil Nadu,Male,23094
2035,March,Tamil Nadu,Female,23094
2035,March,Sikkim,Total,549
2035,March,Sikkim,Male,287
2035,March,Sikkim,Female,262
2035,March,Rajasthan,Total,25447
2035,March,Rajasthan,Male,13295
2035,March,Rajasthan,Female,12152
2035,March,Punjab,Total,15051
2035,March,Punjab,Male,8027
2035,March,Punjab,Female,7024
2035,March,Puducherry,Total,1534
2035,March,Puducherry,Male,751
2035,March,Puducherry,Female,783
2035,March,Odisha,Total,10306
2035,March,Odisha,Male,5334
2035,March,Odisha,Female,4972
2035,March,Nagaland,Total,1538
2035,March,Nagaland,Male,806
2035,March,Nagaland,Female,732
2035,March,Mizoram,Total,784
2035,March,Mizoram,Male,392
2035,March,Mizoram,Female,392
2035,March,Meghalaya,Total,778
2035,March,Meghalaya,Male,389
2035,March,Meghalaya,Female,389
2035,March,Manipur,Total,1257
2035,March,Manipur,Male,620
2035,March,Manipur,Female,637
2035,March,Maharashtra,Total,70505
2035,March,Maharashtra,Male,37049
2035,March,Maharashtra,Female,33456
2035,March,Madhya Pradesh,Total,29398
2035,March,Madhya Pradesh,Male,15327
2035,March,Madhya Pradesh,Female,14071
2035,March,Lakshadweep,Total,71
2035,March,Lakshadweep,Male,37
2035,March,Lakshadweep,Female,34
2035,March,Ladakh,Total,127
